Year,Make,Model,average buyer rating,# of buyers,average seller rating,# of sellers,,,adjusted buyer ranking,adjusted sellers ranking,,buyer rating reliability,seller rating reliability,,final ranking
2017,Honda,Accord LX,4.8,572,4.7,192,,,4.8,4.7,,100.0,100.0,,4.75
2021,Dodge,Charger SXT,4.9,21,2.5,7,,,3.94,1.52,,3.6,1.77,,3.14
2019,Mercedes-Benz,AMG C 43 Base 4MATIC,4.9,35,4.51,4355,,,4.05,4.51,,15.45,100.0,,4.45
2019,Acura,RDX Base,4.3,3038,4.69,8590,,,4.3,4.69,,100.0,100.0,,4.5
2021,Audi,Q5 45 Premium,4.6,336,4.82,24145,,,4.6,4.82,,100.0,100.0,,4.71
2020,Acura,MDX 3.5L Technology & A-Spec Pkgs,4.9,250,4.65,3175,,,4.9,4.65,,100.0,100.0,,4.77
2016,Volvo,XC90 T6 Momentum,4.5,138,3.16,17,,,4.5,2.3,,100.0,14.37,,4.22
2019,INFINITI,QX80 Luxe,4.8,546,4.61,20141,,,4.8,4.61,,100.0,100.0,,4.71
2018,Honda,Accord LX,4.8,652,4.7,3815,,,4.8,4.7,,100.0,100.0,,4.75
2015,Acura,MDX 3.5L,4.7,63,4.7,599,,,4.51,4.7,,81.36,100.0,,4.62
2019,Audi,Q8 3.0T Premium,4.8,1296,4.69,46986,,,4.8,4.69,,100.0,100.0,,4.75
2017,Nissan,Maxima 3.5 S,4.8,374,4.6,2546,,,4.8,4.6,,100.0,100.0,,4.7
2017,Chevrolet,Trax LS,4.5,549,4.78,1339,,,4.5,4.78,,100.0,100.0,,4.64
2020,Kia,Telluride SX,4.8,4431,4.62,14303,,,4.8,4.62,,100.0,100.0,,4.71
2020,Hyundai,Santa Fe Limited 2.0T,4.8,1212,4.7,4600,,,4.8,4.7,,100.0,100.0,,4.75
2018,Ford,Mustang EcoBoost Premium,4.8,576,4.6,4500,,,4.8,4.6,,100.0,100.0,,4.7
2005,Chrysler,Crossfire SRT-6,4.6,186,4.7,554,,,4.6,4.7,,100.0,100.0,,4.65
2021,Mercedes-Benz,GLA 250 Base,4.9,76,4.7,2438,,,4.85,4.7,,95.01,100.0,,4.77
2010,Porsche,Boxster,4.6,11,4.4,933,,,3.61,4.4,,1.19,100.0,,4.39
2014,FIAT,500L Easy,4.3,208,4.4,2264,,,4.3,4.4,,100.0,100.0,,4.35
2015,Honda,Civic LX,4.7,614,4.66,2045,,,4.7,4.66,,100.0,100.0,,4.68
2017,Honda,Civic LX,4.8,1486,4.72,1572,,,4.8,4.72,,100.0,100.0,,4.76
2020,Lexus,GX 460 Base,4.9,506,4.72,23251,,,4.9,4.72,,100.0,100.0,,4.81
2019,Porsche,Macan S,4.9,60,4.81,1940,,,4.66,4.81,,75.64,100.0,,4.74
