Year,Make,Model,Used/New,Price
2019,Mercedes-Benz,C-Class C 300,Mercedes-Benz Certified,33185
2015,Mercedes-Benz,E-Class E 400,Used,20955
2018,Audi,A3 2.0T Prestige,Used,31492
2017,Jeep,Grand Cherokee Limited,Used,27575
2018,Subaru,Outback 2.5i Limited,Used,29499
2018,Mazda,CX-5 Grand Touring,Used,27499
2015,Porsche,Cayenne S,Used,34999
2020,BMW,X5 xDrive40i,Used,62787
2012,Lexus,RX 350 Base,Used,18699
2017,Buick,LaCrosse Premium,Used,28994
2017,Cadillac,XT5 Luxury,Used,33029
2018,BMW,X3 xDrive30i,BMW Certified,37962
2021,Tesla,Model Y Performance,Used,74799
2019,INFINITI,QX50 ESSENTIAL,INFINITI Certified,35799
2019,Volvo,XC60 T5 Momentum,Used,41967
2020,Dodge,Challenger SXT,Used,28619
2019,Audi,Q5 2.0T Premium,Used,35739
2021,Mazda,Mazda3 FWD w/Preferred Package,Used,27981
2021,Kia,Forte FE,Used,16999
2019,Audi,Q5 2.0T Premium,Used,35480
2018,Nissan,Murano SL,Nissan Certified,29401
2016,Chevrolet,Corvette Stingray Z51,Used,49999
2018,Lincoln,MKZ Select,Used,22995
2019,Volvo,XC60 T5 Momentum,Used,38348
2019,Honda,CR-V EX-L,Used,33997
2019,BMW,330 i xDrive,Used,40000
2021,Tesla,Model Y Long Range,Used,74900
2019,Jeep,Grand Cherokee Limited,Used,34991
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Used,67399
2021,Ford,F-150 Lariat,Used,66000
2019,Volkswagen,Arteon 2.0T SEL Premium R-Line,Used,32500
2017,Honda,Accord LX,Used,17352
2021,Dodge,Charger SXT,Used,32299
2019,Mercedes-Benz,AMG C 43 Base 4MATIC,Mercedes-Benz Certified,54335
2019,Honda,Pilot EX-L,Used,34995
2019,Acura,RDX Base,Used,36605
2019,Acura,RDX Base,Used,37331
2021,Audi,Q5 45 Premium,Used,52308
2018,Nissan,Rogue SL,Used,22177
2020,Acura,MDX 3.5L Technology & A-Spec Pkgs,Used,46988
2021,Volkswagen,Atlas 3.6L SEL Premium,Used,47044
2016,Volvo,XC90 T6 Momentum,Used,35998
2020,Honda,Civic Sport,Honda Certified,29628
2019,INFINITI,QX80 Luxe,Used,52506
2021,Honda,Pilot Special Edition,Used,43704
2018,Honda,Accord LX,Honda Certified,29275
2015,Acura,MDX 3.5L,Used,23999
2019,Audi,Q8 3.0T Premium,Used,62995
